Letter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
ጴ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጵ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ጲ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ጳ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጰ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጱ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ኸ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኹ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኺ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ኻ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ኼ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኽ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ኾ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ጂ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኳ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጃ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ከ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኩ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኪ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ካ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኬ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ክ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኮ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
አ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኡ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ኢ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኣ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኤ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
እ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኦ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኧ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኘ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኙ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኚ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ኛ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ኜ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኝ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
